name1	name2	f_total
4s2S	14p2P	0.0023608655892837687
4s2S	13p2P	0.0002113835864843165
4s2S	12p2P	0.0001035312034221564
4s2S	11p2P	8.11094137121759e-05
4s2S	10p2P	8.415332151672164e-05
4s2S	9p2P	0.00011273824300541142
4s2S	8p2P	0.00019818521957542615
4s2S	7p2P	0.00047981217322589395
4s2S	6p2P	0.0017785712269144075
4s2S	5p2P	0.013700555277493262
16d2D	4p2P	0.0003268977514990205
15d2D	4p2P	0.9845886984207326
14d2D	4p2P	0.00019333360310092298
13d2D	4p2P	0.009105155454896114
12d2D	4p2P	0.004386546370573167
11d2D	4p2P	0.010772463709116501
10d2D	4p2P	0.0005822518747374817
9d2D	4p2P	0.0002951490797435179
8d2D	4p2P	0.018095888722873866
7d2D	4p2P	0.06136042343993693
8s2S	4p2P	0.03818930586161195
6d2D	4p2P	0.0007861499369222832
7s2S	4p2P	0.09553460929366044
5d2D	4p2P	0.002334053978583578
4d2D	4p2P	0.1601292053218046
5s2S	14p2P	0.13519386360472385
5s2S	13p2P	0.008112696528878508
4s2S	4p2P	0.0037784446815813224
5s2S	12p2P	0.517798433013352
3d2D	14f2F	0.04129026678433457
3d2D	13f2F	0.0127417002242946
3d2D	14p2P	0.0005237767918400808
3d2D	12f2F	0.021142713841204145
5s2S	11p2P	0.014623986165434427
3d2D	13p2P	0.0007213503573090532
3d2D	11f2F	0.05028650819075592
3d2D	12p2P	0.12208239454118376
5s2S	10p2P	4.153159009282712
3d2D	10f2F	0.0009015637093731741
3d2D	11p2P	0.04204134900606195
3d2D	9f2F	0.0369975221432996
5s2S	9p2P	0.0015890817912491795
3d2D	10p2P	0.0036152802769932025
3d2D	8f2F	0.05700116814051913
3d2D	9p2P	0.003644664816107154
3d2D	7f2F	0.13133868301561927
5s2S	8p2P	0.08145364346207724
3d2D	8p2P	0.0071141964264977865
3d2D	6f2F	0.24288050495869382
5s2S	7p2P	0.15367343147402462
16d2D	5p2P	0.017406605362582143
15d2D	5p2P	0.5487729007930063
14d2D	5p2P	0.002023212192125192
13d2D	5p2P	0.023467701113335664
3d2D	7p2P	0.0013337402639484355
12d2D	5p2P	0.03376529499680047
11d2D	5p2P	0.0043340972193847156
12s2S	5p2P	0.005513589985557668
10d2D	5p2P	0.03443194346754417
3d2D	5f2F	1.2880109541345006
11s2S	5p2P	0.5215605756258913
9d2D	5p2P	0.055806217723928894
8d2D	5p2P	0.003116610927980855
5s2S	4p2P	0.015196786144371702
5s2S	6p2P	0.08308925954550411
9s2S	5p2P	2.5667203801193317
7d2D	5p2P	0.3570599520055139
3d2D	6p2P	0.010392231678270527
4d2D	14f2F	0.03883311360212758
6d2D	5p2P	0.01045337538605185
4d2D	13f2F	0.01640134845764788
