name1	name2	loggf	j1	j2	f
4s2S	14p2P	-2.502	0.5	1.5	0.0031477483141013176
4s2S	14p2P	-2.803	0.5	0.5	0.0015739828644662198
4s2S	13p2P	-3.55	0.5	1.5	0.0002818382931264455
4s2S	13p2P	-3.851	0.5	0.5	0.00014092887984218749
4s2S	12p2P	-3.86	0.5	1.5	0.00013803842646028852
4s2S	12p2P	-4.161	0.5	0.5	6.902398038402427e-05
4s2S	11p2P	-3.966	0.5	1.5	0.00010814339512979375
4s2S	11p2P	-4.267	0.5	0.5	5.407543229455804e-05
4s2S	10p2P	-3.95	0.5	1.5	0.0001122018454301963
4s2S	10p2P	-4.251	0.5	0.5	5.6104797603247e-05
4s2S	9p2P	-3.823	0.5	1.5	0.00015031419660900224
4s2S	9p2P	-4.124	0.5	0.5	7.51622894018206e-05
4s2S	8p2P	-3.578	0.5	1.5	0.00026424087573219477
4s2S	8p2P	-3.879	0.5	0.5	0.00013212956341865752
4s2S	7p2P	-3.194	0.5	1.5	0.0006397348354826482
4s2S	7p2P	-3.495	0.5	0.5	0.00031988951096913973
4s2S	6p2P	-2.625	0.5	1.5	0.0023713737056616554
4s2S	6p2P	-2.926	0.5	0.5	0.0011857687481671595
4s2S	5p2P	-1.738	0.5	1.5	0.018281002161427428
4s2S	5p2P	-2.04	0.5	0.5	0.009120108393559097
5s2S	14p2P	-3.153	0.5	1.5	0.0007030723198838334
5s2S	14p2P	-3.454	0.5	0.5	0.000351560440528298
5s2S	13p2P	-3.508	0.5	1.5	0.00031045595881283556
5s2S	13p2P	-3.809	0.5	0.5	0.00015523870099580817
4s2S	4p2P	0.149	0.5	1.5	1.4092887984218747
4s2S	4p2P	-0.154	0.5	0.5	0.7014552984199712
5s2S	12p2P	-3.439	0.5	1.5	0.00036391503612720705
5s2S	12p2P	-3.74	0.5	0.5	0.00018197008586099826
3d2D	14p2P	-3.697	2.5	1.5	0.00020090928126087278
3d2D	14p2P	-4.651	1.5	1.5	2.2335722228305327e-05
3d2D	14p2P	-3.952	1.5	0.5	0.00011168632477805612
3d2D	12f2F	-1.821	2.5	3.5	0.015100801541641486
3d2D	12f2F	-3.122	2.5	2.5	0.0007550922276654341
5s2S	11p2P	-3.286	0.5	1.5	0.0005176068319505676
5s2S	11p2P	-3.587	0.5	0.5	0.000258821291515309
3d2D	12f2F	-1.976	1.5	2.5	0.010568175092136586
3d2D	13p2P	-3.576	2.5	1.5	0.0002654605561975539
3d2D	13p2P	-4.53	1.5	1.5	2.951209226666384e-05
3d2D	13p2P	-3.831	1.5	0.5	0.00014757065332758945
3d2D	11f2F	-1.612	2.5	3.5	0.024434305526939714
3d2D	11f2F	-2.913	2.5	2.5	0.0012217996601648724
3d2D	11f2F	-1.766	1.5	2.5	0.017139573075084253
3d2D	12p2P	-3.406	2.5	1.5	0.0003926449353995997
3d2D	12p2P	-4.36	1.5	1.5	4.3651583224016566e-05
3d2D	12p2P	-3.662	1.5	0.5	0.0002177709772353159
