name	g	energy
4s2S	2.0	1049567966359500.0
4p2P	6.0	659128429509131.1
5s2S	2.0	419207737292750.0
3d2D	10.0	403946734125899.94
5p2P	6.0	308664179507833.25
4d2D	10.0	228211314588250.03
6s2S	2.0	226616256600299.94
4f2F	14.0	206316119247000.0
6p2P	6.0	180022917965333.28
5d2D	10.0	144630952951134.94
7s2S	2.0	141968696020024.97
5f2F	14.0	132001156006999.98
5g2G	18.0	131683975541999.8
7p2P	6.0	118025729034499.81
6d2D	10.0	99345456299354.94
8s2S	2.0	97265796926024.94
6f2F	14.0	91635894636999.9
8p2P	6.0	83360122674499.92
7d2D	10.0	72293871929055.05
9s2S	2.0	70794886644824.97
7f2F	14.0	67303835959500.086
9p2P	6.0	62010945409349.836
8d2D	10.0	54911214455474.9
10s2S	2.0	53830360563524.984
8f2F	14.0	51516762909499.914
10p2P	6.0	47930966801783.26
9d2D	10.0	43102022733209.914
11s2S	2.0	42308345473275.016
9f2F	14.0	40696651999499.97
11p2P	6.0	38156463179508.23
10d2D	10.0	34721964951659.977
12s2S	2.0	34126435544600.043
10f2F	14.0	32959007574500.008
12p2P	6.0	31094538058499.926
11d2D	10.0	28564095692544.758
13s2S	2.0	28107786324974.92
11f2F	14.0	27234769579499.938
13p2P	6.0	25826538280316.703
12d2D	10.0	23908150283744.984
14s2S	2.0	23551779743974.875
12f2F	14.0	22887478536999.875
14p2P	6.0	21792401489541.758
